wallet,nb_marches,volume_usd,nb_wins,nb_losses,win_rate_pct,volume_par_marche
0xA625BAbf3e643d8088dcFb9Ae9b111962A35b74f,31,15050.0,31.0,0.0,100.0,485.0
0x065F1F504c5e6A23fd13C161B0AfCf2223F62783,28,13111.0,28.0,0.0,100.0,468.0
0x60823Dea68098620c123b79cd135A3B3940773dB,39,24239.0,39.0,0.0,100.0,622.0
0x13Aa9a965dC6768beec25fBef07ED305f45cd906,26,24865.0,26.0,0.0,100.0,956.0
0xA6e1859390fD4B7746087F5844E1C25c0012e6FF,33,25077.0,33.0,0.0,100.0,760.0
0xdF02f163225F1bb1aBda3b30844EcfdB9aF3Ea3e,31,15045.0,31.0,0.0,100.0,485.0
0xe14DcC5ef9685D7377778E5Cc60cad003ABD1862,31,14678.0,31.0,0.0,100.0,473.0
0xc6301D10F0F8b98687b185Ff9E215a6ef12799CA,29,24572.0,29.0,0.0,100.0,847.0
0x9C8f5642C7AB0C93aD91510e5AB962DfBe281c5c,22,10052.0,22.0,0.0,100.0,457.0
0x3869ef71A765DDBcD0FbAC75f6debc474F2842a6,23,10025.0,23.0,0.0,100.0,436.0
0xD70fF7dc61f9fAf19160cBF8C52BB2D71f31098A,38,24865.0,38.0,0.0,100.0,654.0
0xaE2FAa55eA9d2f2a469E0298E1cFa9b02d97fBA9,32,12422.0,32.0,0.0,100.0,388.0
0xDfa5A17b8eAB318C8C7f54E469D733f45a55c687,38,24705.0,38.0,0.0,100.0,650.0
0x1cF48400E82B7d853aF966365c06B293Ff1D208C,26,11484.0,26.0,0.0,100.0,442.0
0x894CE25a6f7F7fc29D72fC99175FB344Bd6c788F,32,14963.0,32.0,0.0,100.0,468.0
0x990480112Ad1D9aa8B9Ef8A3c5B9B6AC6312803a,34,15029.0,34.0,0.0,100.0,442.0
0x17a33FbF0Cea9Dc5fb21485ECf7767E8A12ebB12,25,11427.0,25.0,0.0,100.0,457.0
0xab77cC0864587d01dA357A8e66d5f23545F15fB7,22,14996.0,22.0,0.0,100.0,682.0
0xEbcC210f250d8c8022AF6dB126592F4e1b3A9708,30,13872.0,30.0,0.0,100.0,462.0
0x6d3f2976DC8D7aef88327Ddf39C19565b230e3f2,30,15097.0,30.0,0.0,100.0,503.0
0x9C63744fB5438942F5411602E1736d991e9Caa03,31,13288.0,31.0,0.0,100.0,429.0
0x8f97d263073836229aa378C472c417D12641bCFE,41,34544.0,41.0,0.0,100.0,843.0
0x5beA436Fc83eC1e8E0D72aD91B7743365D94ad6d,24,49697.0,24.0,0.0,100.0,2071.0
0x2ADC24b615d8Db8BF7B85d5958C7F14B17654f98,32,24780.0,32.0,0.0,100.0,774.0
0xbcCF6280EB6D859Bc14f58951a5a45BbCfa6B053,20,15069.0,20.0,0.0,100.0,753.0
0x1143e3AFB80b4AF5bB97394C0aA71A1bd1E00C57,31,11503.0,31.0,0.0,100.0,371.0
0x89a4c462aAf529830cacEc9FD694FDB29393c3c2,31,14137.0,31.0,0.0,100.0,456.0
0x85CBD06464C52585955D6F47fE7c44689225E3fA,30,14993.0,30.0,0.0,100.0,500.0
0xE03696542C6136FB74150781B5e4261694Eb235c,26,25012.0,26.0,0.0,100.0,962.0
0x8c8551107479C9e608DfA13851e9587196E4a10E,21,11047.0,21.0,0.0,100.0,526.0
0xb2d2B2D12BC00C69d661C9EE2b2E7a07dddFC1a3,20,15056.0,20.0,0.0,100.0,753.0
0x1c8c57B42002b28BBe1A5d28996046FdF142d4dC,25,15599.0,25.0,0.0,100.0,624.0
0x8c88E50bD99e23f9E29127075e39f20bc906f729,20,15127.0,20.0,0.0,100.0,756.0
0x949d9cff3A1Bc48166704Ce26A8F924C63c60b6B,22,25082.0,22.0,0.0,100.0,1140.0
0x2aba98971db01b3d216b1310cA23C47d540E1545,21,15105.0,21.0,0.0,100.0,719.0
0x4CaC37E5f8754692928910219E9A7ca89071f5F7,20,15085.0,20.0,0.0,100.0,754.0
0x67a96CF97dCe6a681EAd6cD3daf165a58268D0e4,20,10049.0,20.0,0.0,100.0,502.0
0x60Cb5Eed84b4921004FC9F504f535141AA18677C,20,15049.0,20.0,0.0,100.0,752.0
0xa7bbf79177A77F607c4132460da0B0b5A41DBCa4,30,13853.0,30.0,0.0,100.0,462.0
0xF8aB968FAC11857D65a17214dFaFAE5df0c08977,26,24940.0,26.0,0.0,100.0,959.0
0x72580cDD141CA32f5F5E8Cc80d5712B951e2a732,21,14991.0,21.0,0.0,100.0,714.0
0x38B408091b6Bc28458fDE55784a503747E733bFA,30,15040.0,30.0,0.0,100.0,501.0
0x11d14F90285A812818B9a35747FBE8B69583067A,30,11850.0,30.0,0.0,100.0,395.0
0xBBeac7A30eF7aAccf8776bCE9B4B030560320518,24,24950.0,24.0,0.0,100.0,1040.0
0x9e1CA85818CfDc03D91F6292d6D4FcBF84DFE41B,20,14943.0,20.0,0.0,100.0,747.0
0x0A147100954f3371d891565bD0912179370A7b6d,28,15050.0,28.0,0.0,100.0,537.0
0x6Aa151e6669BE929D50C9381C243A2fC283B96b8,29,11517.0,29.0,0.0,100.0,397.0
0xA6ca4a6A97436102bC0c503477240531398B0AD4,41,24634.0,41.0,0.0,100.0,601.0
0x54ADCB3A5191c6c2107b366A57C141c35Ddc72c7,20,14951.0,20.0,0.0,100.0,748.0
0xDec87b156D501cbd77709f76A1FA5C7170AFeE9A,20,15060.0,20.0,0.0,100.0,753.0
0x3171d24a54494A63Ad2E94B3bEC46F1FFCb6A6A5,25,14839.0,25.0,0.0,100.0,594.0
0xcc2B87D3a8A175BD68D27773e9e155233778b68d,20,10073.0,20.0,0.0,100.0,504.0
0x2a1f3954b560Ad8152D3975dfE655416A116F9fb,36,37793.0,36.0,0.0,100.0,1050.0
0x4458EBf408353D9539BFf87941cf5289497081d2,25,12793.0,25.0,0.0,100.0,512.0
0xc82a2fDBadfB04E23b65CB779518EbE354f8cfD2,29,15119.0,29.0,0.0,100.0,521.0
0xd48bcADEebA9a44407Da300d017E8D4b9A69A91F,36,24977.0,36.0,0.0,100.0,694.0
0xAB9F1aF3233a964FE393dd90eC2A0df4B5034Ef5,34,14498.0,34.0,0.0,100.0,426.0
0xA1979F06039AE768dEfa43292D144043536aF372,20,15143.0,20.0,0.0,100.0,757.0
0xdefc5AbD90F1c4651EFBb307D4ba414D11CA16c0,33,25132.0,33.0,0.0,100.0,762.0
0xff1611c3FA28f5b22045Cc240B45c24b5F5C9B00,27,25139.0,27.0,0.0,100.0,931.0
0x1a1aB461F8Ab807bB86c41Fd16E850f86056677E,30,13849.0,30.0,0.0,100.0,462.0
0xbce1Bff34aEc503f5745839d81a0932c30Ff0a83,29,15040.0,29.0,0.0,100.0,519.0
0x548628B456e6D4d94572005d501bD01bF6760AAb,31,14974.0,31.0,0.0,100.0,483.0
0xf0E6973461F424a053fC1B4b8Bb6E669003ff63B,32,14021.0,32.0,0.0,100.0,438.0
0xA0f6184FEd732c1d6cacfe82D5CbE9A54ee04aa3,30,15011.0,30.0,0.0,100.0,500.0
0xc025d13Dc9a4BCD5F80C3457bA006ae495957a7e,30,15093.0,30.0,0.0,100.0,503.0
0xdF129628dD01252a461DC35388f9c8091aF8CeF3,27,14909.0,27.0,0.0,100.0,552.0
0x5a301e446336E1f97d5B7409350477Ea34f2E58d,30,24582.0,30.0,0.0,100.0,819.0
0xB95e321868E94D3C6CFdaee4B91Afc9E3c1655ae,21,15071.0,21.0,0.0,100.0,718.0
0xAa5520b9aA524BD8Ff38f9265926F587c2ECa72a,25,24954.0,25.0,0.0,100.0,998.0
0x934FC6EfF18D6f67Bf5FeDDF5AcA4Ec24D76D0C8,20,15108.0,20.0,0.0,100.0,755.0
0xc33A1A5Eb77d3805bAd1F09046e5e3898fA6d8cD,20,15083.0,20.0,0.0,100.0,754.0
0x14283De4980fB95Fe45CA20CA667c7C03ed07721,23,14987.0,23.0,0.0,100.0,652.0
0x317f467E47B08E58b729cf08061e7721AC27B7C4,30,14947.0,30.0,0.0,100.0,498.0
0x3b8aBd9d99670D777123C4fc2630501462DB5890,28,13126.0,28.0,0.0,100.0,469.0
0xCE34B2EB0ebeFC33EeB271D8F8e360a31D25ac8B,20,14945.0,20.0,0.0,100.0,747.0
0x1Ce60d173d24E9c09A453BCf01176dFc1E5D0185,26,24952.0,26.0,0.0,100.0,960.0
0x6d620e1932DEc7dEfE9B14b72f26a7d3E7F0C4E9,30,13788.0,30.0,0.0,100.0,460.0
0x992505328eD73B02b029A37716087B7154FB085B,34,24736.0,34.0,0.0,100.0,728.0
0xcA7a93b36f997Fb95E760996Ff7baE950a825b29,32,15090.0,32.0,0.0,100.0,472.0
0xCDe0bdE9E8a5BF05fF779823f6Aa51F8D458189e,20,14938.0,20.0,0.0,100.0,747.0
0x571cC4274Eb6585552aB216C711BFd3f4cf10Bf1,44,40573.0,44.0,0.0,100.0,922.0
0x85C7eb9E01BCcC02D504b3e3f673bdb72b61D9bA,20,15035.0,20.0,0.0,100.0,752.0
0x21Dee2c370D8a55DE68faE89F0633B075e4259Cd,28,14885.0,28.0,0.0,100.0,532.0
0xAd6d13479d4bCE4a6897617fcE75ce1707Cc4c7a,23,15017.0,23.0,0.0,100.0,653.0
0xe1F17E6D9D5E0d036Ded7a43E0B68ef5481688E3,30,15049.0,30.0,0.0,100.0,502.0
0x29c104b1179de3dA4113D16d4feaBfB40DB310A8,34,15185.0,34.0,0.0,100.0,447.0
0xfa4F6E982696a65d77E0d23C5dAAB73A422091b4,25,14814.0,25.0,0.0,100.0,593.0
0x0A4C637f2C351Dd73A41fa439954fc5A13a4C58D,36,25085.0,36.0,0.0,100.0,697.0
0x5B35FcE24121Fb7333B1D365619d385C1e173E28,20,15123.0,20.0,0.0,100.0,756.0
0x5B117398b0953103036C83F6A7ABDb06cf712939,29,14915.0,29.0,0.0,100.0,514.0
0x1c69F8C5b8B4838C8Dce7653e8633290fc618AD6,29,15062.0,29.0,0.0,100.0,519.0
0xA88Bc702B33f74a5e73fe229231111684f06F620,31,13862.0,31.0,0.0,100.0,447.0
0x39C262621e9841afA6Da30906a1AFca1b234A44A,30,13746.0,30.0,0.0,100.0,458.0
0x3dBC4137c0862Ab17AaBDD8FDfc7bd4954aE9488,46,24854.0,46.0,0.0,100.0,540.0
0x2A16ccb84065981e1439c26383431d810a937c73,20,15019.0,20.0,0.0,100.0,751.0
0xE66b3bCbF0A5B74c20Ac54f1eF0b99031D22219e,30,15085.0,30.0,0.0,100.0,503.0
0x9C6959f6721D4Be970242433B94f68bEc3eF9B00,30,15108.0,30.0,0.0,100.0,504.0
0x6c2940Dbd0d72E1F514be116dDfb52e0A3fe1c76,23,14635.0,23.0,0.0,100.0,636.0
0x4e113A0Dbb3F06FD3c804598c0847f4E6A652c9b,34,25433.0,34.0,0.0,100.0,748.0
0x77dA43D6C5757F7F484D5A17A30Ff222f5ae8574,30,13930.0,30.0,0.0,100.0,464.0
0x02dDFc8f7Af3e1A3092F946f04e5601F953C01E5,30,27896.0,30.0,0.0,100.0,930.0
0x2303316B95D8a3db971089C7B677C1c9D50fff5d,31,13785.0,31.0,0.0,100.0,445.0
