asset,signal,mag_filter,mag_threshold_pct,n,p_mean_rev,ev_pp,opp_per_day
BTC,UPx1,any,0.0,127135,0.5041019388838637,0.4101938883863676,144.0317213056716
BTC,DOWNx1,any,0.0,127079,0.5043319509911157,0.43319509911157184,143.9682786943284
BTC,UPx2,any,0.0,63045,0.5166785629312396,1.6678562931239593,71.42391843092827
BTC,DOWNx2,any,0.0,62989,0.5186778643890203,1.8677864389020304,71.36047581958508
BTC,UPx3,any,0.0,30470,0.5240236297998031,2.4023629799803103,34.51957799334419
BTC,DOWNx3,any,0.0,30318,0.5310376673923082,3.1037667392308177,34.347376619698366
BTC,UPx4,any,0.0,14502,0.5379258033374708,3.7925803337470754,16.42937053034058
BTC,DOWNx4,any,0.0,14218,0.531650021100014,3.1650021100014025,16.107625858528642
BTC,UPx1,>p50,0.0567,69115,0.5070245243434854,0.7024524343485439,78.30064433902146
BTC,UPx1,>p75,0.1133,36435,0.5144778372444079,1.4477837244407876,41.27734900516887
BTC,UPx1,>p90,0.1952,15442,0.5209169796658464,2.091697966584638,17.494300077887136
BTC,UPx1,p50-p75,0.0567,32680,0.49871481028151776,-0.1285189718482238,37.02329533385258
BTC,DOWNx1,>p50,0.0567,68459,0.5133145386289604,1.331453862896037,77.55745946328683
BTC,DOWNx1,>p75,0.1133,35939,0.5191852861793594,1.918528617935944,40.71542873327197
BTC,DOWNx1,>p90,0.1952,15451,0.5250145621642612,2.5014562164261234,17.504496211853006
BTC,DOWNx1,p50-p75,0.0567,32520,0.5068265682656826,0.682656826568262,36.84203073001487
BTC,UPx2,>p50,0.0567,34163,0.5197728536721014,1.9772853672101354,38.70339163067337
BTC,UPx2,>p75,0.1133,17993,0.5279831045406547,2.798310454065467,20.38433760532465
BTC,UPx2,>p90,0.1952,7807,0.5377225566799027,3.7722556679902652,8.844579763506337
BTC,UPx2,p50-p75,0.0567,16170,0.5106369820655534,1.0636982065553413,18.319054025348724
BTC,DOWNx2,>p50,0.0567,33548,0.5308513175152021,3.0851317515202092,38.00665580967217
BTC,DOWNx2,>p75,0.1133,17793,0.536952734221323,3.6952734221322947,20.15775685052751
BTC,DOWNx2,>p90,0.1952,7854,0.5459638400814871,4.596384008148712,8.897826240883665
BTC,DOWNx2,p50-p75,0.0567,15755,0.5239606474135196,2.3960647413519554,17.84889895914466
BTC,UPx3,>p50,0.0567,16325,0.5262480857580398,2.624808575803983,18.494654110316507
BTC,UPx3,>p75,0.1133,8712,0.5353535353535354,3.535353535353536,9.869857678963394
BTC,UPx3,>p90,0.1952,3905,0.5495518565941101,4.9551856594110095,4.423989237414147
BTC,UPx3,p50-p75,0.0567,7613,0.5158281886247209,1.5828188624720907,8.624796431353111
BTC,DOWNx3,>p50,0.0567,15957,0.5423951870652378,4.239518706523782,18.077745521489767
BTC,DOWNx3,>p75,0.1133,8622,0.5470888424959406,4.708884249594059,9.76789633930468
BTC,DOWNx3,>p90,0.1952,4007,0.5597704017968556,5.977040179685556,4.539545422360688
BTC,DOWNx3,p50-p75,0.0567,7335,0.5368779822767553,3.6877982276755317,8.309849182185088
ETH,UPx1,any,0.0,127811,0.5061379693453616,0.6137969345361594,144.51446339395082
ETH,DOWNx1,any,0.0,126901,0.5097674565212252,0.9767456521225237,143.48553660604918
ETH,UPx2,any,0.0,63121,0.5233440534845772,2.3344053484577243,71.37020635070198
ETH,DOWNx2,any,0.0,62210,0.5271981996463591,2.7198199646359056,70.34014887402243
ETH,UPx3,any,0.0,30087,0.5349486489181374,3.4948648918137426,34.01903326109488
ETH,DOWNx3,any,0.0,29413,0.5403053071770986,4.030530717709857,33.25694902478093
ETH,UPx4,any,0.0,13992,0.5484562607204116,4.845626072041165,15.820597380570998
ETH,DOWNx4,any,0.0,13521,0.5461874121736557,4.618741217365574,15.288042966173562
ETH,UPx1,>p50,0.0749,72087,0.5093428773565276,0.9342877356527612,81.50796193347782
ETH,UPx1,>p75,0.1461,38959,0.5151826278908596,1.5182627890859557,44.05050409874682
ETH,UPx1,>p90,0.2519,16705,0.5285842562107154,2.8584256210715364,18.888156035051352
ETH,UPx1,p50-p75,0.0749,33128,0.5024752475247525,0.24752475247524774,37.457457834730995
ETH,DOWNx1,>p50,0.0749,71235,0.5140731382045343,1.4073138204534263,80.54461509469519
ETH,DOWNx1,>p75,0.1461,39057,0.5221343165117649,2.2134316511764895,44.16131159898238
ETH,DOWNx1,>p90,0.2519,17042,0.5257012087783124,2.570120877831239,19.26919815320833
ETH,DOWNx1,p50-p75,0.0749,32178,0.5042886444154391,0.428864441543908,36.38330349571281
ETH,UPx2,>p50,0.0749,35290,0.5301785208274299,3.017852082742989,39.9020069725808
ETH,UPx2,>p75,0.1461,19272,0.5375155666251556,3.751556662515565,21.79063412795628
ETH,UPx2,>p90,0.2519,8467,0.5516711940474784,5.167119404747844,9.573541882596816
ETH,UPx2,p50-p75,0.0749,16018,0.5213509801473343,2.1350980147334275,18.11137284462452
ETH,DOWNx2,>p50,0.0749,34894,0.5331289046827535,3.3128904682753535,39.454254216526905
ETH,DOWNx2,>p75,0.1461,19479,0.5406335027465475,4.063350274654754,22.024686704984454
ETH,DOWNx2,>p90,0.2519,8849,0.545824386936377,4.582438693637703,10.005464995759917
ETH,DOWNx2,p50-p75,0.0749,15415,0.5236457995458969,2.364579954589685,17.429567511542448
ETH,UPx3,>p50,0.0749,16781,0.5406709969608485,4.067099696084853,18.97408838217281
ETH,UPx3,>p75,0.1461,9272,0.5483175150992234,4.831751509922344,10.483746348817489
ETH,UPx3,>p90,0.2519,4303,0.5498489425981873,4.984894259818729,4.8653538113634225
ETH,UPx3,p50-p75,0.0749,7509,0.5312291916367027,3.122919163670268,8.490342033355319
ETH,DOWNx3,>p50,0.0749,16667,0.5474290514189716,4.7429051418971575,18.845189861490624
ETH,DOWNx3,>p75,0.1461,9609,0.5529191383078365,5.2919138307836455,10.864788466974465
ETH,DOWNx3,>p90,0.2519,4563,0.5570896340127109,5.708963401271094,5.159332893621031
ETH,DOWNx3,p50-p75,0.0749,7058,0.5399546613771606,3.995466137716064,7.98040139451616
SOL,UPx1,any,0.0,125566,0.5098991765286782,0.9899176528678222,141.9755096912996
SOL,DOWNx1,any,0.0,129147,0.4957606448465702,-0.42393551534298246,146.02449030870036
SOL,UPx2,any,0.0,61540,0.5239519012024699,2.3951901202469927,69.58231421246658
SOL,DOWNx2,any,0.0,65120,0.5114250614250614,1.142506142506139,73.6301641455285
SOL,UPx3,any,0.0,29296,0.5303795740032768,3.0379574003276844,33.12452839077707
SOL,DOWNx3,any,0.0,31815,0.5217664623605218,2.176646236052182,35.97272224032538
SOL,UPx4,any,0.0,13758,0.5411397005378689,4.113970053786886,15.555955133817276
SOL,DOWNx4,any,0.0,15215,0.5300032862306934,3.000328623069337,17.203362215513145
SOL,UPx1,>p50,0.0984,73707,0.5134383437122662,1.3438343712266154,83.33935056318288
SOL,UPx1,>p75,0.1847,42635,0.515796880497244,1.5796880497244037,48.20672678661867
SOL,UPx1,>p90,0.3103,19626,0.5220625700601242,2.2062570060124242,22.19081083415452
SOL,UPx1,p50-p75,0.0984,31072,0.5102021112255406,1.02021112255406,35.13262377656421
SOL,DOWNx1,>p50,0.0984,73423,0.5013551611892731,0.13551611892731463,83.01823621095114
SOL,DOWNx1,>p75,0.1847,43205,0.5049415576900822,0.4941557690082199,48.85121685975981
SOL,DOWNx1,>p90,0.3103,20067,0.5064533811730703,0.6453381173070261,22.68944262758477
SOL,DOWNx1,p50-p75,0.0984,30218,0.49622741412403204,-0.377258587596796,34.16701935119134
SOL,UPx2,>p50,0.0984,35984,0.5304301911960871,3.043019119608714,40.68654524896648
SOL,UPx2,>p75,0.1847,20932,0.531052933307854,3.105293330785397,23.667484580684928
SOL,UPx2,>p90,0.3103,9882,0.5388585306618093,3.885853066180933,11.173422636457502
SOL,UPx2,p50-p75,0.0984,15052,0.5295641775179378,2.956417751793783,17.019060668281554
SOL,DOWNx2,>p50,0.0984,36959,0.5168159311669688,1.6815931166968778,41.78896247933949
SOL,DOWNx2,>p75,0.1847,21901,0.5210264371489887,2.1026437148988664,24.76311770502487
SOL,DOWNx2,>p90,0.3103,10354,0.5242418389028395,2.4241838902839485,11.707105644391923
